title,price_gbp,price_inr,rating,in_stock,category
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2332.6,2,True,Sequential Art
Danganronpa Volume 1,51.99,5484.95,4,True,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,3873.96,4,True,Sequential Art
Camp Midnight,17.08,1801.94,4,True,Sequential Art
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,4000.56,2,True,Sequential Art
The Shadow Hero (The Shadow Hero),33.14,3496.27,1,True,Sequential Art
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4390.91,4,True,Sequential Art
Batman: The Long Halloween (Batman),36.5,3850.75,2,True,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,1622.59,5,True,Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,3939.37,4,True,Sequential Art
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,5686.45,1,True,Sequential Art
Through the Woods,25.38,2677.59,2,True,Sequential Art
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,1254.4,5,True,Sequential Art
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,3737.86,4,True,Sequential Art
Robin War,47.82,5045.01,3,True,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2688.14,2,True,Sequential Art
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,4050.14,2,True,Sequential Art
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,5434.3,2,True,Sequential Art
El Deafo,57.62,6078.91,5,True,Sequential Art
Batman: Europa,32.01,3377.06,2,True,Sequential Art
Art Ops Vol. 1,48.8,5148.4,3,True,Sequential Art
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,1149.95,2,True,Sequential Art
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,3581.73,4,True,Sequential Art
Roller Girl,14.1,1487.55,5,True,Sequential Art
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,2064.64,1,True,Sequential Art
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,2211.28,4,True,Sequential Art
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3839.14,3,True,Sequential Art
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1722.81,1,True,Sequential Art
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,5529.25,1,True,Sequential Art
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2941.34,2,True,Sequential Art
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,5321.42,4,True,Sequential Art
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,1520.26,3,True,Sequential Art
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5860.52,5,True,Sequential Art
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,2275.64,5,True,Sequential Art
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,4602.96,3,True,Sequential Art
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,4128.22,1,True,Sequential Art
Original Fake,31.45,3317.98,3,True,Sequential Art
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,4506.96,1,True,Sequential Art
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,4765.44,2,True,Sequential Art
"Black Butler, Vol. 1 (Black Butler #1)",49.31,5202.2,1,True,Sequential Art
Awkward,38.02,4011.11,2,True,Sequential Art
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,5782.46,1,True,Sequential Art
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,1239.62,3,True,Sequential Art
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,1228.02,5,True,Sequential Art
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,1952.8,4,True,Sequential Art
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,3852.86,2,True,Sequential Art
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,5709.66,3,True,Sequential Art
The Complete Maus (Maus #1-2),10.64,1122.52,3,True,Sequential Art
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,4443.66,3,True,Sequential Art
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,3004.64,1,True,Sequential Art
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,4954.28,5,True,Sequential Art
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,2290.41,4,True,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3151.29,3,True,Sequential Art
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4155.65,4,True,Sequential Art
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,4772.82,3,True,Sequential Art
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,5988.18,4,True,Sequential Art
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,4249.54,5,True,Sequential Art
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,3655.58,5,True,Sequential Art
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,6019.83,4,True,Sequential Art
